"","x"
"1",1.03533874264067
"2",0.774374106545818
"3",0.37166662974055
"4",-0.150124674099298
"5",0.00684958272262522
"6",0.161697081688053
"7",0.532741010541034
"8",-1.33779982647558
"9",1.53302647565309
"10",-0.288703111700984
"11",0.647456189100832
"12",0.208095819710526
"13",2.91559187470826
"14",0.153077259808218
"15",-1.81323352909426
"16",0.299199626431634
"17",-0.446238587243597
"18",-1.16621800372781
"19",1.29124910887037
"20",2.33437964985974
"21",-0.71707291742794
"22",0.76026317260629
"23",-1.30404560840126
"24",-0.7156141556599
"25",0.93621729735604
"26",0.148575239700759
"27",0.361305408950797
"28",0.198748920727818
"29",-0.362656953353448
"30",-0.828436570386327
